country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Sierra Leone,2019,9.065,6523577590.38319,843.7125173042,61.554,58.941,60.255,40.2013918537,56.6634454179,3.1351627285,50.1639357832,7731991.0,4447132.0,57.516
El Salvador,2019,7.451,26881140000.0,4320.1167153463,76.776,68.009,72.559,26.6748281488,65.6988091656,7.6263626856,52.4609884067,6222318.0,1695831.0,27.254
Somalia,2019,11.041,8655023960.002,539.8939315655,59.092,55.122,57.078,47.1380616932,50.344165054,2.5177732528,49.9057075149,16030971.0,8728222.0,54.446
Serbia,2019,14.6,53864693664.5568,7755.632986437,78.6,73.4,75.9365853659,14.2533414248,64.6822977246,21.0643608506,52.3595304324,6945235.0,3037846.0,43.74
Sub-Saharan Africa,2019,8.6914142704,1834336253943.3,1610.1714204081,63.0970565933,59.3386659821,61.2099327931,42.2890816888,54.6545842613,3.0563340498,50.1828420517,1139217993.0,674057551.0,59.1684430317
South Sudan,2019,10.531,14080606755.7446,1375.87731816095,57.29,54.471,55.912,43.5608915492,53.8126725447,2.626435906,50.8096986545,10423384.0,8349235.0,80.101
Sub-Saharan Africa (excluding high income),2019,8.6913635937,1836204944040.04,1611.6736354965,63.0982427705,59.3396579202,61.2110327116,42.287234897,54.6560618154,3.0567032876,50.1824318179,1139315618.0,674099414.0,59.1670474029
Small states,2019,7.1450049942,247266169547.51697,12739.8388742478,75.1557284591,70.5514370698,72.7349734718,25.8470454824,66.036397128,8.1165573896,48.7504645578,19408893.0,8932076.0,46.0205370386
São Tomé and Principe,2019,5.876,412976082.62070495,1935.2931816596,71.62,65.831,68.523,40.4731667541,55.7042906951,3.8225425508,50.1696408488,213392.0,56340.0,26.402
Suriname,2019,7.06,4016040575.08796,6629.667752486,75.68,68.944,72.242,27.1645250327,66.0642358131,6.7712391543,49.8415234875,605768.0,205386.0,33.905
Slovak Republic,2019,9.8,105843498304.094,19406.0589683582,81.2,74.3,77.6658536585,15.7942056375,67.9466053942,16.2591889683,51.1630774153,5454147.0,2523688.0,46.271
Slovenia,2019,9.9,53909922735.545,25814.1687167572,84.5,78.7,81.5292682927,15.1074701233,65.0408615177,19.851668359,49.9509704868,2088385.0,943491.0,45.178
Sweden,2019,8.6,532169294165.94,51773.0464558993,84.8,81.5,83.1097560976,17.7766784624,62.2726593946,19.9506621429,49.711215692,10278887.0,1263481.0,12.292
Eswatini,2019,8.923,4594818143.27624,3894.3295159282,64.353,56.975,60.549,35.1175210234,61.08681944,3.7956595365,50.9952342328,1179874.0,896928.0,76.019
Sint Maarten (Dutch part),2019,4.7,1407880446.92737,34861.469528968,78.797,72.541,75.437,17.8608129357,71.49648999,10.6426970744,51.4720812183,40385.0,0.0,0.0
Seychelles,2019,8.1,1868690096.73454,19141.5118743615,78.4,69.9,74.0463414634,20.7364184598,71.8981219799,7.3654595603,45.3952792581,97625.0,41863.0,42.881
Syrian Arab Republic,2019,5.033,22583045060.082096,1109.5392603605,75.638,68.224,71.822,36.1049486541,59.4003650668,4.4946862791,50.0083769236,20353534.0,9195523.0,45.179
Turks and Caicos Islands,2019,8.458,1177285211.72521,27273.4376992357,78.371,72.6,75.326,16.8908039986,73.294645029,9.8145509724,49.8077190381,43166.0,2866.0,6.64
Chad,2019,12.369,11314951091.7283,678.142035724,54.908,51.664,53.259,48.1220928243,49.829450886,2.0484562897,49.8279585475,16685223.0,12801070.0,76.721
East Asia & Pacific (IDA & IBRD countries),2019,7.0474418678,17201604143343.6,8245.1016107122,78.8463051792,73.3597696188,76.0274825586,20.7258820911,68.9386166142,10.3355012947,49.2735457769,2086281644.0,907384383.0,43.4928997284
Europe & Central Asia (IDA & IBRD countries),2019,9.9493891429,4175889218401.02,9027.5070950522,78.4030661291,70.4165549814,74.3227900511,20.2552268355,66.865294405,12.8794787595,51.9847810413,462573906.0,154525475.0,33.5352650746
Togo,2019,8.465,6992700101.37188,826.2606540999,61.443,60.35,60.901,40.9267242092,56.0742451792,2.9990306116,49.7445370875,8463068.0,4887591.0,57.752
Thailand,2019,7.14,543976691793.886,7605.6965779776,83.433,74.638,78.975,16.55143263,71.1198138549,12.3287535151,51.0312906591,71522271.0,35266201.0,49.308
Tajikistan,2019,4.843,8300813599.3084,871.0223729348,73.01,68.862,70.867,36.3201453185,60.4935946256,3.1862600559,51.0578631655,9529966.0,6927428.0,72.691
Turkmenistan,2019,6.583,45232857142.8571,6648.0348960628,72.464,65.552,69.002,30.8693214649,65.4019223702,3.7287561649,51.0319821809,6803944.0,3262627.0,47.952
Latin America & Caribbean (IDA & IBRD countries),2019,6.4957274668,5413333286802.23,8654.8620946582,78.1113711714,71.8812769692,74.9701507442,24.4497257229,67.1391324805,8.4111417966,50.6707372142,625467307.0,119796797.0,19.1531667483
Timor-Leste,2019,6.888,2032550400.0,1562.3645888181,69.95,66.721,68.268,36.5772713594,57.8625759977,5.5601526429,49.4237650323,1300945.0,898342.0,69.053
Middle East & North Africa (IDA & IBRD countries),2019,5.1773058947,1463042606051.1,3593.3866674739,75.5589743791,70.6521749912,73.0472852579,31.6137372346,63.1324274732,5.2538352922,49.4172599084,407148671.0,158169040.0,38.8479816562
Tonga,2019,6.909,494197841.113077,4676.8479034824,73.669,68.265,70.871,35.9919371247,57.772583385,6.2354794903,51.3580013249,105669.0,81252.0,76.893
South Asia (IDA & IBRD),2019,6.5981893913,3658209765835.5,1952.013400846,72.1926835203,68.8507878047,70.4582926589,28.8325588918,65.3018820879,5.8655590202,48.7541337591,1874070006.0,1228333710.0,65.5436406252
Sub-Saharan Africa (IDA & IBRD countries),2019,8.6913635937,1836204944040.04,1611.6736354965,63.0982427705,59.3396579202,61.2110327116,42.287234897,54.6560618154,3.0567032876,50.1824318179,1139315618.0,674099414.0,59.1670474029
Trinidad and Tobago,2019,7.701,23775659262.5735,17431.0269266696,77.697,70.828,74.228,18.8380786777,71.3159659881,9.8459553342,50.4293235746,1363985.0,638522.0,46.813
Tunisia,2019,6.145,41905642418.825,3528.872133068,79.379,72.895,75.993,25.1114708186,66.942785485,7.9457436964,50.3996940821,11875081.0,3651112.0,30.746
Turkey,2019,5.084,761005915750.9249,9215.4404988811,80.953,74.68,77.832,22.961832886,68.5155348426,8.5226322714,49.9440091331,82579440.0,20124610.0,24.37
Tuvalu,2019,10.161,54123198.566291295,5115.1307595021,68.85,60.592,64.278,31.6699744826,62.7114639448,5.6185615726,48.7099518004,10581.0,3892.0,36.785
Tanzania,2019,6.012,61026731925.921295,1063.3225097656,69.117,64.921,66.989,43.5911795765,53.4064794475,3.002340976,50.4620937958,59174891.0,38759554.0,65.5
Uganda,2019,5.823,35348155095.4215,822.0570581892,64.99,60.893,62.991,45.7632788183,52.2003191306,2.0364020511,50.4891076174,42999637.0,32524495.0,75.639
Ukraine,2019,14.7,153883047509.577,3619.8615722656,76.98,66.92,71.8273170732,15.3715841763,67.9121159386,16.7162998851,53.3934280715,44957458.0,13724163.0,30.527
Uruguay,2019,10.057,62222325807.0578,18315.7352857194,81.296,73.579,77.508,20.1749643935,64.6984116798,15.1266239266,51.5051932397,3397206.0,155388.0,4.574
United States,2019,8.697,21539982000000.0,65604.6815198734,81.4,76.3,78.787804878,18.6084404883,65.7186742642,15.6728852475,49.7180861441,328329953.0,57592357.0,17.541
Uzbekistan,2019,4.6,67293639798.3996,2041.3848072943,73.883,68.782,71.344,29.3439503668,65.457939388,5.1981102453,49.6053460336,32964701.0,16339613.0,49.567
Saint Vincent and the Grenadines,2019,10.1,910766666.6666669,8743.3320213375,75.58,70.533,72.835,22.4639281154,66.995305615,10.5407662695,48.662737117,104167.0,49361.0,47.386
"Venezuela, Bolivarian Republic of",2019,7.017,180577113250.65982,6635.556528289759,76.566,68.034,72.161,28.0354811156,64.1174309383,7.8470879461,50.4502230934,28938098.0,3403120.0,11.76
Virgin Islands (U.S.),2019,8.2,4121000000.0,38633.5298915336,83.1,76.4,79.6682926829,16.8513804582,62.5404906431,20.6081288987,51.5262050754,106669.0,4446.0,4.168
Viet Nam,2019,6.706,334365270496.66693,3440.9002537543,78.888,69.369,74.093,24.539473101,68.210297129,7.2502297701,51.053121071,97173776.0,61580965.0,63.372
Vanuatu,2019,5.663,936526267.6225129,3207.4465045208,72.405,67.801,69.877,39.0030977672,56.990696424,4.0062058089,49.3617822833,291985.0,217838.0,74.606
World,2019,7.479356488,88149850742946.0,11334.8430932207,75.4164089911,70.579256801,72.9310338256,26.0377348599,64.8584581187,9.1038070214,49.664539593,7776892015.0,3457867820.0,44.4737903421
Samoa,2019,5.5,912950466.0649059,4351.9423494371,74.805,69.767,72.157,38.4572849111,56.3718094475,5.1709056414,49.5509581466,209780.0,171902.0,81.944
Yemen,2019,6.416,21168560979.178337,623.3761648982,68.627,61.807,65.092,41.3900254497,56.037860345,2.5721142053,49.3275348001,35111408.0,22024333.0,62.727
South Africa,2019,8.614,389330032224.269,6533.7112103286,69.107,62.834,66.175,27.4300151161,66.6247646932,5.9452201908,51.5132454942,59587885.0,19749809.0,33.144
Zambia,2019,6.571,23308667781.2258,1258.9861984446,65.409,60.08,62.793,43.7567582888,54.4562325929,1.7870091182,50.5126759224,18513839.0,10354420.0,55.928
Zimbabwe,2019,8.043,25717409842.447895,1684.0279038818,63.661,58.644,61.292,42.5422575942,53.9235009569,3.5342414489,52.5684797852,15271368.0,10352460.0,67.79
Aruba,2020,9.69,2481857122.8401,22855.9323200761,78.445,72.828,75.723,18.2545705094,67.16868171,14.5767477805,52.8445065177,108587.0,61138.0,56.303
Africa Eastern and Southern,2020,7.6298313749,933391782089.6179,1344.08096192,65.8320081962,60.8146701584,63.3097935065,41.3817331495,55.4260977485,3.192169102,50.5251168582,694446100.0,438306360.0,63.1159655183
Afghanistan,2020,7.113,19955929052.1496,510.7870633668,65.432,59.866,62.575,44.2241042439,53.4051619317,2.3707338244,49.5112221899,39068979.0,28900887.0,73.974
Africa Western and Central,2020,10.623221507,789801651563.294,1664.2491764355,58.2774227757,56.1059515072,57.1806707192,42.869657804,54.2138381353,2.9165040607,49.6635370646,474569351.0,247103416.0,52.0689790424
Angola,2020,7.821,48501561203.5686,1449.9228666931,64.982,59.584,62.261,45.0195505339,52.2548406993,2.7256087668,50.5558182439,33451132.0,11097413.0,33.175
Albania,2020,10.785,15241458744.8688,5370.7786231293,79.676,74.632,76.989,17.5219758955,67.7110196944,14.7670044101,50.5073201033,2837849.0,1075204.0,37.888
Arab World,2020,5.656651911,2562783626987.7295,5648.3411178939,72.9973301088,68.7930353627,70.7942234312,33.6966867761,62.0324024323,4.2709107916,48.2430805084,453723239.0,188310233.0,41.5033258695
United Arab Emirates,2020,1.766,349473015336.939,37173.8754100281,81.112,77.464,78.946,16.5795684067,81.8563407364,1.5640908569,35.6167338288,9401038.0,1217622.0,12.952
Argentina,2020,8.509,385740508436.96497,8535.5993800439,79.285,72.546,75.892,23.6990914613,64.5074745534,11.7934339854,50.3905517361,45191965.0,3565194.0,7.889
Armenia,2020,12.792,12641698583.2152,4268.6809330458,76.996,67.051,72.173,20.1691865056,67.4875319646,12.3432815298,53.7708430478,2961500.0,1086486.0,36.687
Antigua and Barbuda,2020,5.961,1410796296.2963,15360.4544160475,81.316,76.061,78.841,19.1053502602,71.0314003876,9.8632493522,52.4557678698,91846.0,69405.0,75.567
Australia,2020,6.3,1328414058378.38,51791.540179984,85.3,81.2,83.2,18.5597082419,65.1015714818,16.3387202763,50.3812239619,25649248.0,3529080.0,13.759
Austria,2020,10.3,434397601557.696,48716.4098900349,83.6,78.9,81.1926829268,14.3931589251,66.4370522356,19.1697888393,50.8028051635,8916864.0,3678385.0,41.252
Azerbaijan,2020,7.5,42693000000.0,4229.910649045,70.998,62.986,66.868,23.3899641809,69.7266672756,6.8833685435,51.0862790508,10093121.0,4400904.0,43.603
Burundi,2020,7.562,2649680261.44299,210.0081399025,63.675,59.465,61.566,46.9567456255,50.6081895938,2.4350647807,50.3453188213,12617036.0,10887493.0,86.292
Belgium,2020,11.0,529694473501.791,45906.2875805246,83.0,78.5,80.6951219512,16.8003901524,63.9755896544,19.2240201932,50.678650612,11538604.0,221657.0,1.921
Benin,2020,9.364,15651545208.8783,1197.5013642806,61.485,58.693,60.088,42.6531783943,54.3068570881,3.0399645177,49.9124609636,13070169.0,6742247.0,51.585
Burkina Faso,2020,8.813,17725010532.5268,825.2370387825,61.598,57.787,59.731,44.0467375815,53.3844208698,2.5688415487,50.2154577498,21478690.0,14904707.0,69.393
Bangladesh,2020,5.816,373979442362.19293,2248.8507882823,73.957,70.187,71.968,29.2584546886,64.9064095314,5.8351357801,50.763768546,166298024.0,102810427.0,61.823
Bulgaria,2020,18.0,70716821234.5967,10198.5388313404,77.5,70.0,73.6585365854,14.4317525598,63.8814581407,21.6867892995,51.5480730789,6934015.0,1685936.0,24.314
Bahrain,2020,2.239,35837632978.7234,24342.8444554718,80.433,78.165,79.174,19.8945840304,76.8265235048,3.2788924648,37.689479373,1472204.0,154493.0,10.494
Bahamas,2020,8.076,9958200000.0,25155.6725432789,76.27,69.102,72.677,19.4868167609,69.5367709748,10.9764122644,52.0349211722,395863.0,66327.0,16.755
Bosnia and Herzegovina,2020,14.094,20226036564.412895,6130.3113324516,78.414,74.04,76.225,13.5633554432,66.193927015,20.2427175417,52.4543478123,3299349.0,1682008.0,50.98
Belarus,2020,16.553,61371755326.2351,6542.8645398436,77.866,67.306,72.4572195122,17.0467976281,67.2194165637,15.7337858081,53.3865457862,9379952.0,1924485.0,20.517
Belize,2020,5.244,2042850000.0,5227.1936378617,76.626,69.564,72.854,28.8946205524,66.6198410231,4.4855384245,49.6526453964,390812.0,210941.0,53.975
Bermuda,2020,8.8,6887147000.0,106973.175732348,84.272,77.885,81.136,14.4885216365,66.6886707465,18.822807617,50.807679165,64382.0,0.0,0.0
Bolivia,2020,9.3,36629843805.0216,3099.9421904457,67.841,61.559,64.467,31.0202276102,63.3261750009,5.6535973889,49.7299027386,11816299.0,3530356.0,29.877
Brazil,2020,7.42,1476107231194.11,7074.1937828187,77.375,70.7,74.009,20.7566949223,69.6446402012,9.5986648765,50.7121357695,208660842.0,26973587.0,12.927
Barbados,2020,8.973,5168344450.0,18347.1109131055,79.21,75.418,77.393,18.061363588,67.1676760218,14.7709603902,52.039957827,281698.0,193834.0,68.809
Brunei Darussalam,2020,4.975,12005799664.2691,26834.3592463839,77.033,72.749,74.795,21.5994063524,72.7870926356,5.613501012,46.7810899793,447404.0,97310.0,21.75
Bhutan,2020,6.545,2457604334.15915,3191.6690703178,73.536,69.965,71.609,23.3734542328,70.6085407127,6.0180050545,46.3370415295,770006.0,444170.0,57.684
Botswana,2020,6.95,14960291105.9316,6323.3141915621,68.051,63.142,65.647,32.87423969,63.2353062384,3.8904540716,50.0900082971,2365894.0,689019.0,29.123
Central African Republic,2020,11.041,2326720900.38047,462.879071294,56.757,52.582,54.604,48.9114124905,48.8879673523,2.2006201572,51.3624140552,5026628.0,2905492.0,57.802
Canada,2020,8.1,1655684730000.19,43537.839298904,83.95,79.48,81.6604878049,15.8763047752,66.138286743,17.9854084819,50.3183035081,38028638.0,7011720.0,18.438
Central Europe and the Baltics,2020,13.7015249859,1678756939339.66,16450.8775088615,79.9727142373,72.3806324178,76.0802066283,15.4812121952,65.3582363393,19.1605514655,51.5421704916,102046650.0,38198096.0,37.4319948469
Switzerland,2020,8.8,741999406005.6268,85897.7843338323,85.1,81.0,83.0,15.0518920515,66.1965690619,18.7515388866,50.3841407905,8638167.0,2253266.0,26.085
Channel Islands,2020,8.4739324306,9439810775.67214,56785.9402392525,83.387,79.141,81.264,14.9438597652,66.1901338763,18.8660063584,50.5753902608,166235.0,114764.0,69.037
Chile,2020,7.221,254042159309.311,13114.815470545,82.041,76.745,79.377,18.4128141664,68.9603700944,12.6268157391,50.2688297496,19370624.0,2377357.0,12.273
China,2020,7.07,14687744162801.0,10408.7195541075,81.058,75.305,78.077,17.9548374596,69.3999249325,12.6452376079,48.9202370304,1411100000.0,544289492.0,38.572
Côte d'Ivoire,2020,8.817,63027852805.4204,2179.7293483294,60.351,57.86,59.032,42.180613516,55.3233038968,2.4960825873,48.9287076632,28915449.0,13964427.0,48.294
Cameroon,2020,8.419,40773241177.0505,1555.6037066075,62.633,59.081,60.833,42.5437699571,54.6793776767,2.7768523661,50.1554316335,26210558.0,11123761.0,42.44
Congo (Kinshasa),2020,9.537,48716961860.1325,507.5212300779,61.7,57.818,59.739,46.0525923753,50.8613314066,3.0860762181,50.3942077382,95989998.0,52182083.0,54.362
Congo (Brazzaville),2020,6.923,11468687464.0046,1993.586671931,65.397,62.212,63.785,41.7661915552,55.4746344405,2.7591740043,49.9978445241,5752791.0,1850730.0,32.171
Colombia,2020,6.606,270348342541.46497,5339.6871135794,78.136,71.537,74.769,21.6647057903,69.8711687671,8.4641254426,50.5962828598,50629997.0,9404522.0,18.575
Comoros,2020,8.274,1225039196.61091,1527.1699101192,66.593,61.975,64.166,38.2677596276,57.26451029,4.4677300825,49.6956354257,802163.0,566488.0,70.62
Cape Verde,2020,5.692,1821565617.6945,3539.2266202711,79.16,70.333,74.808,28.395535474,65.6218093007,5.9826552252,49.1357736846,514679.0,171635.0,33.348
Costa Rica,2020,5.627,62395610760.0492,12394.0493969492,81.912,76.751,79.277,20.7362762002,68.7786334599,10.4850903399,50.5233676048,5034320.0,968049.0,19.229
Caribbean small states,2020,7.6559777086,31763210392.7783,10270.790474345,75.6609207951,69.128543555,72.3087595973,24.6763341728,67.0784858794,8.2451799479,50.7525450815,3092577.0,1658043.0,53.6136617297
Cuba,2020,10.23,107351800000.0,9605.2612506726,80.225,75.044,77.567,15.8354728206,68.524976929,15.6395502505,50.5178746591,11176354.0,2548879.0,22.806
Curaçao,2020,9.3,2534327597.76536,16356.0933594414,77.65546153846154,71.68665384615385,74.5982673546,16.3194932385,68.7533104887,14.9271962728,52.4759753105,154947.0,16948.0,10.938
Cayman Islands,2020,3.3,5655358021.43209,82338.7982853661,84.2,80.1,82.1,16.4716930312,76.0812119183,7.4470950506,49.7503093834,68684.0,0.0,0.0
Cyprus,2020,6.93,25555093854.2968,28649.015625,83.448,79.345,81.391,15.9491955254,70.4395285842,13.6112758903,49.5754264933,1302247.0,432073.0,33.179
Czech Republic,2020,12.1,251109660602.536,23472.8915454417,81.3,75.2,78.1756097561,16.0028177853,63.703208572,20.2939736427,50.7054842647,10697858.0,2774917.0,25.939
Germany,2020,11.9,3940142541354.1,47379.765194548,83.5,78.7,81.0414634146,13.7617263335,64.393545549,21.8447281175,50.6255262173,83160871.0,18750282.0,22.547
Djibouti,2020,8.821,3185150981.03207,2881.9992445014,65.461,60.071,62.694,31.0085564589,64.5163698319,4.4750737091,50.3869929822,1105188.0,242456.0,21.938
Dominica,2020,8.177,504214814.814815,7461.779332201,77.26,70.433,73.649,18.8462847587,68.9683749427,12.1853402986,49.8320335045,67573.0,19535.0,28.91
Denmark,2020,9.4,355631021931.621,60985.4885601514,83.6,79.7,81.6024390244,16.3064495938,63.6927358686,20.0008145375,50.2559877082,5831404.0,693004.0,11.884
Dominican Republic,2020,6.46,78844656298.17758,7162.2917524211,76.914,69.364,72.889,27.6825804166,65.5074489249,6.8099706585,50.2108136588,11008300.0,1922049.0,17.46
Algeria,2020,5.398,164873415325.201,3743.5419522929,75.912,73.082,74.453,30.8424615898,63.2634495033,5.8940889069,48.9344772481,44042091.0,11568536.0,26.267
East Asia & Pacific,2020,7.2255386465,17496305186280.5,8245.7152157771,78.8255641027,73.1968016718,75.9260975082,20.4565760078,68.7486314356,10.7947925567,49.3122719062,2121866294.0,902121221.0,42.5154603191
Early-demographic dividend,2020,7.1622173343,11006437195990.5,3240.9515021808,72.2650308565,67.9108900329,70.001773002,28.7457863634,65.2402315257,6.0139821109,49.2308734067,3396051187.0,1841073550.0,54.2121850743
East Asia & Pacific (excluding high income),2020,7.3842110718,27163485040463.8,11464.1012855988,79.6798798249,73.9861637484,76.7488995393,19.6842673546,68.2982628671,12.0174697783,49.4659442474,2369438682.0,931610342.0,39.3177654845
Europe & Central Asia,2020,9.2783104638,1437142037120.74,5733.5388117287,76.2962907482,69.1818024877,72.6548560331,23.1636107657,66.495749617,10.3406396174,51.1698121508,250655325.5,90181183.5,36.2369636553
Europe & Central Asia (excluding high income),2020,11.2822343943,22286624242751.4,24091.3416895738,80.2597471466,73.8161068288,76.9402938211,17.8731761504,65.2578962962,16.8689275534,51.4714317887,925088545.5,253117877.5,27.4145254981
Ecuador,2020,7.534,95865472000.0,5463.6450964932,76.056,68.765,72.153,26.3938617118,66.0443856228,7.5617526654,50.0742702139,17546065.0,6287457.0,35.834
Egypt,2020,5.851,383817841547.09894,3511.1138102638,73.39,68.667,70.99,33.4741409317,61.8346774314,4.6911816369,49.5096826675,109315124.0,62546834.0,57.217
Euro area,2020,11.1503687197,13266857904728.0,38241.5756519082,84.1605188586,78.9641929054,81.4949212154,14.8038981924,64.1113922728,21.0847095348,51.0727139139,346922366.0,78967943.0,22.7624238926
Eritrea,2020,6.424,977773746.9846773,390.07545674651,69.337,64.862,67.133,40.4027107465,55.5062854907,4.0910037628,50.7082980126,3291271.0,1930429.0,58.653
Spain,2020,10.4,1289783836971.21,27230.3599933583,85.2,79.6,82.3317073171,14.1995072556,66.2408766587,19.5596160857,50.8861294448,47365655.0,9089469.0,19.19
Estonia,2020,11.9,31820771493.8974,23933.9939421065,83.0,74.4,78.5951219512,16.4383705876,63.3615345768,20.2000948356,52.6197121238,1329522.0,409107.0,30.771
Ethiopia,2020,6.616,107657734392.446,905.3131758059,68.426,62.517,65.371,40.4507554624,56.4801956285,3.0690489092,49.8589503165,118917671.0,93118482.0,78.305
European Union,2020,11.6010658633,15504700009593.0,34635.4895902222,83.3182465799,77.7340840235,80.4519335661,15.0225097701,64.3055402886,20.6719499413,51.1059465753,447653554.0,112070262.0,25.0350431319
Fragile and conflict affected situations,2020,9.2762083048,1675406927630.4,1680.9688467498,64.0116964964,59.5644354777,61.7330978653,39.9040079084,56.096429962,3.9995621296,50.1346668723,996691242.0,560731996.0,56.3605770034
Finland,2020,10.0,270000311606.226,48828.6846862799,84.8,79.2,81.9317073171,15.6603302366,61.8489868729,22.4906828906,50.6098800422,5529543.0,800844.0,14.483
Fiji,2020,8.078,4432466237.09588,4844.4212903646,69.743,66.166,67.924,28.3052975913,65.7076297074,5.9870727013,50.3068979914,914963.0,391174.0,42.753
France,2020,9.9,2647926055110.05,39169.8606000707,85.3,79.2,82.1756097561,17.4391580401,61.8134010588,20.7474409011,51.5611716494,67601110.0,12861111.0,19.025
Faroe Islands,2020,7.0,3271813311.5831,62236.0866558197,85.1,80.8,82.8975609756,20.7505728657,61.5633289913,17.6860981431,48.2761899329,52571.0,30282.0,57.602
"Micronesia, Federated States of",2020,6.065,372000000.0,3353.8894298388,74.54,67.106,70.674,32.7669913854,62.1990416214,5.0339669932,50.2447776265,110916.0,85480.0,77.067
Gabon,2020,6.909,15342236163.9864,6605.8034607756,69.116,64.258,66.531,36.8180039173,59.1889307349,3.9930653479,49.0765063579,2322539.0,230117.0,9.908
United Kingdom,2020,10.1,2696778386607.6494,40201.6812422928,82.4,78.4,80.3512195122,17.9663259938,63.4278786786,18.6057953276,50.8124059111,67081234.0,10798066.0,16.097
Georgia,2020,13.976,16010869215.68,4300.8570129121,77.874,67.74,72.765,21.0003324834,64.1121823295,14.8874851871,53.4350244054,3722716.0,1509450.0,40.547
Ghana,2020,7.448,70043099675.68,2196.5478931362,66.385,61.9,64.114,37.2244577857,59.3068357252,3.4687064891,50.0302905719,31887809.0,13600469.0,42.651
Guinea,2020,9.847,14088693742.9464,1053.6609769641,60.449,58.113,59.327,42.1447077645,54.4109522695,3.444339966,50.6943701242,13371183.0,8440559.0,63.125
Gambia,2020,7.373,1812170891.19069,720.3351433521,64.235,61.023,62.612,42.0440797883,55.1896892099,2.7662310018,50.2339675021,2515733.0,941337.0,37.418
Guinea-Bissau,2020,8.574,1646400349.84867,817.7803357492,62.265,57.612,59.999,40.5414614641,56.4395965737,3.0189419621,50.6704317138,2013255.0,1123477.0,55.804
Equatorial Guinea,2020,9.026,9893816007.7398,5764.0550291295,62.943,58.812,60.708,37.8951317778,58.6219904414,3.4828777807,47.0587584163,1716468.0,461730.0,26.9
Greece,2020,12.2,191362985554.86096,17886.733165236,83.9,78.8,81.287804878,14.1702935939,63.4362736718,22.3934327342,51.5375626357,10698599.0,2170211.0,20.285
Grenada,2020,8.061,1043411111.11111,8968.5589010848,77.869,72.208,74.924,20.9001985543,68.1139924876,10.9858089581,49.6738037321,116341.0,73833.0,63.463
Greenland,2020,9.2,3082884653.2456,54693.0766804265,74.13,69.68,71.8507317073,20.8730463003,70.2823669969,8.8445867028,47.245849605,56367.0,7169.0,12.718
Guatemala,2020,5.337,77719464220.72998,4477.6176179642,75.545,68.258,71.797,33.8046722694,61.6502064215,4.5451213092,50.3725746696,17357325.0,8359982.0,48.164
Guam,2020,7.178,5916000000.0,36482.9363953675,81.868,72.197,76.612,25.8275879081,63.4011272956,10.7712847963,49.1545282996,162158.0,8208.0,5.062
Guyana,2020,8.026,5471256594.72422,6775.709390963,72.118,65.075,68.486,29.4667432009,64.5321285999,6.0011281992,51.1800277654,807481.0,591189.0,73.214
"Hong Kong, SAR China",2020,6.8,344943149590.058,46109.2299946609,87.75,83.35,85.4963414634,11.2771621133,69.8975753166,18.8252625702,54.8384456778,7481000.0,0.0,0.0
Honduras,2020,4.945,23352232483.755,2307.6149431951,73.987,69.126,71.462,32.1804218243,63.8254837215,3.9940944542,49.6168144321,10119640.0,4213919.0,41.641
Heavily indebted poor countries,2020,7.7184807727,813139899187.275,959.1817375777,65.0229942073,60.5395980843,62.7448243468,42.6281562499,54.4293369036,2.9425068466,50.1552625071,847743308.0,533683754.0,62.9534610339
Croatia,2020,14.1,57963370885.0798,14808.4620188819,80.9,74.7,77.7243902439,14.451772123,63.8820518579,21.6661760191,51.8237168933,3914206.0,1661463.0,42.447
Haiti,2020,8.176,14508222518.3018,1290.3253866738,67.118,61.131,64.052,32.6009921159,62.9647963935,4.4342114906,50.4140130674,11243848.0,4824960.0,42.912
Hungary,2020,14.5,157288955508.176,16131.9540355923,79.0,72.3,75.5682926829,14.5576627784,65.3516634491,20.0906737724,52.0786234556,9750149.0,2735697.0,28.058
IBRD only,2020,7.66409207,30114868724300.2,6171.8796574307,76.1164501859,70.8177525477,73.3700789329,23.2762720119,67.5410055585,9.1827224296,49.4799447385,4879367453.0,2134281681.0,43.7409500466
IDA & IBRD total,2020,7.7440250347,32566020356731.5,4884.2624249805,73.3502941708,68.3751852498,70.7793625967,27.5139543517,64.772156114,7.7138895342,49.624675682,6667541078.5,3244188646.5,48.6695150161
IDA total,2020,7.9621371358,2450267402830.47,1370.2625784704,65.8837778216,61.6382436139,63.7101324636,39.0772662082,57.2168305748,3.705903217,50.0196012334,1788173625.5,1109906965.5,62.131506721
IDA blend,2020,9.1911287817,1024076691136.99,1713.8645793764,62.7339602599,59.3823991063,61.004744071,39.5453750582,56.9177283351,3.5368966067,49.4492654194,597524859.0,339807835.0,56.8692384905
Indonesia,2020,8.964,1059054842711.55,3853.702887789,70.982,66.745,68.808,25.8344234293,67.5576712934,6.6079052772,49.7577219858,274814866.0,119156978.0,43.359
IDA only,2020,7.3453699744,1426190711693.48,1197.8265562613,67.4375927558,62.7898483631,65.067826574,38.8423466564,57.366934475,3.7907188686,50.3058231961,1190648766.5,770099130.5,64.7763427377
