country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Eritrea,1991,14.627,977773746.9846773,390.07545674651,52.753,48.48,50.607,44.6141467584,52.6079141141,2.7779391275,51.1008449284,1919571.0,1543527.0,80.41
Spain,1991,8.7,576753902321.857,14801.3226152172,80.7,73.42,76.9712195122,19.0774322142,67.0651500613,13.8574177245,50.9512136943,38966376.0,9535852.0,24.472
Estonia,1991,12.6,18664796967.37658,13926.66991900465,74.7,64.3,69.3731707317,22.1100132971,66.0658873688,11.8240993341,53.1689987888,1561314.0,452063.0,28.954
Ethiopia,1991,18.88,13799799323.6715,277.5659103651,47.866,44.456,46.13,46.182389442,51.066456923,2.751153635,50.5992594353,49717198.0,43320086.0,87.133
European Union,1991,10.3552753081,6730843386415.03,15959.6505474959,78.522040372,71.2795416557,74.8099449417,19.1242843748,67.141449219,13.7342664061,51.3853662186,421741276.0,128382262.0,30.4409993498
Fragile and conflict affected situations,1991,15.3044891477,386386041287.99493,772.809461824,55.6576067172,51.0255657934,53.2686277796,42.0502710891,53.8073554554,4.1423734555,50.5670982238,499975816.0,321593173.0,64.5807739428
Finland,1991,9.8,127794441993.824,25488.8450525604,79.32,71.33,75.2275609756,19.244826362,67.2137446449,13.5414289931,51.4406607258,5013740.0,1010620.0,20.157
Fiji,1991,6.121,1383883249.591,1774.9921113812,68.316,63.349,65.643,38.487102004,58.5450506377,2.9678473583,49.6046974563,779656.0,449230.0,57.619
France,1991,9.2,1258961748633.88,21500.7778366233,81.1,72.8,76.8487804878,20.0781609513,65.7152192366,14.2066198121,51.4108161703,58554242.0,15090014.0,25.771
Faroe Islands,1991,8.4,909253214.82608,19163.9593395877,80.0,72.9,76.3634146341,24.3987098428,63.4024692413,12.1988209159,48.0039301963,47446.0,32665.0,68.846
"Micronesia, Federated States of",1991,5.715,166200000.0,1617.4552815462,70.961,64.501,67.619,45.9166841032,51.3452096522,2.7381062446,49.4968565701,102754.0,76293.0,74.248
Gabon,1991,11.266,5402919784.57004,5345.0965303052,61.682,59.098,60.397,42.4772597652,51.8780572378,5.644682997,50.9359242357,1010818.0,298575.0,29.538
United Kingdom,1991,11.3,1142797178130.51,19900.7266505069,78.9,73.4,76.0829268293,19.2814021018,64.7930242332,15.925573665,51.7865590339,57424897.0,12569161.0,21.888
Georgia,1991,10.634,6339735099.33775,1310.9731589441,72.671,63.583,68.245,25.5711603446,65.2472962451,9.1815434102,53.2923171985,4835900.0,2185875.0,45.201
